timestamp,iface,can_id,dlc,data,priority,pdu_format,pdu_specific,pdu_type,pgn,pgn_label,destination,source,label,rule_name,rule_type,semantics,rule_severity,rule_layer,rule_description,context_pgn,context_value
0.242353,can0,419360768,8,FFFFFFC02BFFFFFF,6,254,240,PDU2,65264,Power Takeoff Information 1,,0,normal,,,,,,,,
0.242363,can0,418385408,8,F23AFFFFD59FFFFF,6,240,14,PDU2,61454,Aftertreatment 1 Intake Gas 1,,0,normal,,,,,,,,
0.244948,can0,419321344,8,9643FFFF1F1F00FF,6,254,86,PDU2,65110,Aftertreatment 1 Diesel Exhaust Fluid Tank 1 Information 1,,0,normal,,,,,,,,
0.245526,can0,418394880,8,FFFFFFFFFFFFFFFF,6,240,51,PDU2,61491,Aftertreatment 1 SCR Ammonia Information 2,,0,normal,,,,,,,,
0.246972,can0,217056256,8,619D9CC52E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.248752,can0,217055747,8,C16A12FFF7562103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.249349,can0,217058307,8,B404BF2EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.24995,can0,419230208,8,E1FFFFFFFFFFFFFF,6,252,242,PDU2,64754,Engine Fuel/Throttle Valve Information 1,,0,normal,,,,,,,,
0.250503,can0,418383107,8,7F12077F35203243,6,240,5,PDU2,61445,Electronic Transmission Controller 2,,3,normal,,,,,,,,
0.251097,can0,419318275,8,030F4FFFFFF3FFFF,6,254,74,PDU2,65098,Electronic Transmission Controller 7,,3,normal,,,,,,,,
0.255052,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.255632,can0,418385664,8,8A0FFFFFD59FFFFF,6,240,15,PDU2,61455,Aftertreatment 1 Outlet Gas 1,,0,normal,,,,,,,,
0.258776,can0,217055747,8,C18A12FFF7842103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.260352,can0,217056000,8,D06826FFFF0F7B82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.260957,can0,419361024,8,FFFC14FCFF6800CF,6,254,241,PDU2,65265,Cruise Control/Vehicle Speed 1,,0,normal,,,,,,,,
0.264972,can0,419265280,8,00FF9FBC00005357,6,253,123,PDU2,64891,Aftertreatment 1 Service 1,,0,normal,,,,,,,,
0.267315,can0,217056256,8,619D9C8E2E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.268911,can0,217055747,8,C18A12FFF7842103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.269351,can0,217058307,8,B004762EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.270761,can0,285057792,8,FFFF32FFFFFFFFFF,4,253,163,PDU2,64931,Electronic Engine Controller 6,,0,normal,,,,,,,,
